"U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.23242,0.00042824,0,-0.050293,1,0.29981,0.5,0.212,0.212
-0.23153,0.00048045,0,-0.050473,1,0.30123,0.5,0.213,0.213
-0.23064,0.00053266,0,-0.050653,1,0.30264,0.5,0.214,0.214
-0.22975,0.00058487,0,-0.050832,1,0.30406,0.5,0.215,0.215
-0.22886,0.00063708,0,-0.051012,1,0.30547,0.5,0.216,0.216
-0.22797,0.00068929,0,-0.051192,1,0.30688,0.5,0.217,0.217
-0.22708,0.0007415,0,-0.051372,1,0.3083,0.5,0.218,0.218
-0.22619,0.00079372,0,-0.051552,1,0.30971,0.5,0.219,0.219
-0.22529,0.00084593,0,-0.051732,1,0.31113,0.5,0.22,0.22
-0.22442,0.00090488,0,-0.051904,1,0.31254,0.5,0.221,0.221
-0.22355,0.00096384,0,-0.052076,1,0.31396,0.5,0.222,0.222
-0.22268,0.0010228,0,-0.052248,1,0.31537,0.5,0.223,0.223
-0.22181,0.0010818,0,-0.05242,1,0.31678,0.5,0.224,0.224
-0.22094,0.0011407,0,-0.052592,1,0.3182,0.5,0.225,0.225
-0.22006,0.0011997,0,-0.052764,1,0.31961,0.5,0.226,0.226
-0.21919,0.0012586,0,-0.052936,1,0.32103,0.5,0.227,0.227
-0.21832,0.0013176,0,-0.053108,1,0.32244,0.5,0.228,0.228
-0.21745,0.0013765,0,-0.05328,1,0.32385,0.5,0.229,0.229
-0.21658,0.0014355,0,-0.053452,1,0.32527,0.5,0.23,0.23
-0.21572,0.0015004,0,-0.053617,1,0.32668,0.5,0.231,0.231
-0.21487,0.0015654,0,-0.053781,1,0.3281,0.5,0.232,0.232
-0.21402,0.0016303,0,-0.053945,1,0.32951,0.5,0.233,0.233
-0.21317,0.0016953,0,-0.05411,1,0.33093,0.5,0.234,0.234
-0.21231,0.0017602,0,-0.054274,1,0.33234,0.5,0.235,0.235
-0.21146,0.0018252,0,-0.054439,1,0.33375,0.5,0.236,0.236
-0.21061,0.0018901,0,-0.054603,1,0.33517,0.5,0.237,0.237
-0.20975,0.001955,0,-0.054767,1,0.33658,0.5,0.238,0.238
-0.2089,0.00202,0,-0.054932,1,0.338,0.5,0.239,0.239
-0.20805,0.0020849,0,-0.055096,1,0.33941,0.5,0.24,0.24
-0.20722,0.0021552,0,-0.055253,1,0.34083,0.5,0.241,0.241
-0.20638,0.0022255,0,-0.05541,1,0.34224,0.5,0.242,0.242
-0.20555,0.0022958,0,-0.055568,1,0.34365,0.5,0.243,0.243
-0.20472,0.0023661,0,-0.055725,1,0.34507,0.5,0.244,0.244
-0.20389,0.0024364,0,-0.055882,1,0.34648,0.5,0.245,0.245
-0.20305,0.0025067,0,-0.056039,1,0.3479,0.5,0.246,0.246
-0.20222,0.0025769,0,-0.056196,1,0.34931,0.5,0.247,0.247
-0.20139,0.0026472,0,-0.056353,1,0.35072,0.5,0.248,0.248
-0.20055,0.0027175,0,-0.05651,1,0.35214,0.5,0.249,0.249
-0.19972,0.0027878,0,-0.056667,1,0.35355,0.5,0.25,0.25
-0.19891,0.0028629,0,-0.056817,1,0.35497,0.5,0.251,0.251
-0.1981,0.0029381,0,-0.056967,1,0.35638,0.5,0.252,0.252
-0.19729,0.0030133,0,-0.057117,1,0.3578,0.5,0.253,0.253
-0.19648,0.0030884,0,-0.057267,1,0.35921,0.5,0.254,0.254
-0.19567,0.0031636,0,-0.057417,1,0.36062,0.5,0.255,0.255
-0.19485,0.0032387,0,-0.057567,1,0.36204,0.5,0.256,0.256
-0.19404,0.0033139,0,-0.057717,1,0.36345,0.5,0.257,0.257
-0.19323,0.003389,0,-0.057867,1,0.36487,0.5,0.258,0.258
-0.19242,0.0034642,0,-0.058017,1,0.36628,0.5,0.259,0.259
-0.19161,0.0035393,0,-0.058167,1,0.3677,0.5,0.26,0.26
-0.19082,0.003619,0,-0.05831,1,0.36911,0.5,0.261,0.261
-0.19003,0.0036986,0,-0.058453,1,0.37052,0.5,0.262,0.262
-0.18924,0.0037783,0,-0.058596,1,0.37194,0.5,0.263,0.263
-0.18845,0.0038579,0,-0.05874,1,0.37335,0.5,0.264,0.264
-0.18767,0.0039376,0,-0.058883,1,0.37477,0.5,0.265,0.265
-0.18688,0.0040172,0,-0.059026,1,0.37618,0.5,0.266,0.266
-0.18609,0.0040969,0,-0.059169,1,0.3776,0.5,0.267,0.267
-0.1853,0.0041765,0,-0.059312,1,0.37901,0.5,0.268,0.268
-0.18451,0.0042562,0,-0.059456,1,0.38042,0.5,0.269,0.269
-0.18372,0.0043358,0,-0.059599,1,0.38184,0.5,0.27,0.27
-0.18296,0.0044195,0,-0.059736,1,0.38325,0.5,0.271,0.271
-0.18219,0.0045032,0,-0.059872,1,0.38467,0.5,0.272,0.272
-0.18142,0.0045869,0,-0.060009,1,0.38608,0.5,0.273,0.273
-0.18066,0.0046706,0,-0.060146,1,0.38749,0.5,0.274,0.274
-0.17989,0.0047543,0,-0.060283,1,0.38891,0.5,0.275,0.275
-0.17913,0.004838,0,-0.060419,1,0.39032,0.5,0.276,0.276
-0.17836,0.0049217,0,-0.060556,1,0.39174,0.5,0.277,0.277
-0.1776,0.0050054,0,-0.060693,1,0.39315,0.5,0.278,0.278
-0.17683,0.0050891,0,-0.06083,1,0.39457,0.5,0.279,0.279
-0.17606,0.0051728,0,-0.060966,1,0.39598,0.5,0.28,0.28
-0.17532,0.0052601,0,-0.061097,1,0.39739,0.5,0.281,0.281
-0.17458,0.0053474,0,-0.061228,1,0.39881,0.5,0.282,0.282
-0.17383,0.0054347,0,-0.061358,1,0.40022,0.5,0.283,0.283
-0.17309,0.005522,0,-0.061489,1,0.40164,0.5,0.284,0.284
-0.17235,0.0056093,0,-0.06162,1,0.40305,0.5,0.285,0.285
-0.17161,0.0056966,0,-0.06175,1,0.40447,0.5,0.286,0.286
-0.17086,0.0057839,0,-0.061881,1,0.40588,0.5,0.287,0.287
-0.17012,0.0058712,0,-0.062011,1,0.40729,0.5,0.288,0.288
-0.16938,0.0059585,0,-0.062142,1,0.40871,0.5,0.289,0.289
-0.16863,0.0060458,0,-0.062273,1,0.41012,0.5,0.29,0.29
-0.16791,0.0061363,0,-0.062398,1,0.41154,0.5,0.291,0.291
-0.16719,0.0062268,0,-0.062522,1,0.41295,0.5,0.292,0.292
-0.16647,0.0063174,0,-0.062647,1,0.41436,0.5,0.293,0.293
-0.16575,0.0064079,0,-0.062772,1,0.41578,0.5,0.294,0.294
-0.16503,0.0064984,0,-0.062897,1,0.41719,0.5,0.295,0.295
-0.16431,0.0065889,0,-0.063022,1,0.41861,0.5,0.296,0.296
-0.16359,0.0066795,0,-0.063147,1,0.42002,0.5,0.297,0.297
-0.16287,0.00677,0,-0.063271,1,0.42144,0.5,0.298,0.298
-0.16215,0.0068605,0,-0.063396,1,0.42285,0.5,0.299,0.299
-0.16143,0.0069511,0,-0.063521,1,0.42426,0.5,0.3,0.3
-0.16073,0.0070445,0,-0.063641,1,0.42568,0.5,0.301,0.301
-0.16004,0.0071378,0,-0.06376,1,0.42709,0.5,0.302,0.302
-0.15934,0.0072312,0,-0.063879,1,0.42851,0.5,0.303,0.303
-0.15864,0.0073246,0,-0.063999,1,0.42992,0.5,0.304,0.304
-0.15794,0.007418,0,-0.064118,1,0.43134,0.5,0.305,0.305
-0.15724,0.0075114,0,-0.064237,1,0.43275,0.5,0.306,0.306
-0.15654,0.0076048,0,-0.064357,1,0.43416,0.5,0.307,0.307
-0.15585,0.0076982,0,-0.064476,1,0.43558,0.5,0.308,0.308
-0.15515,0.0077916,0,-0.064596,1,0.43699,0.5,0.309,0.309
-0.15445,0.007885,0,-0.064715,1,0.43841,0.5,0.31,0.31
-0.15377,0.0079808,0,-0.064829,1,0.43982,0.5,0.311,0.311
-0.15309,0.0080767,0,-0.064943,1,0.44123,0.5,0.312,0.312
-0.15242,0.0081725,0,-0.065058,1,0.44265,0.5,0.313,0.313
-0.15174,0.0082684,0,-0.065172,1,0.44406,0.5,0.314,0.314
-0.15106,0.0083643,0,-0.065286,1,0.44548,0.5,0.315,0.315
-0.15038,0.0084601,0,-0.0654,1,0.44689,0.5,0.316,0.316
-0.14971,0.008556,0,-0.065515,1,0.44831,0.5,0.317,0.317
-0.14903,0.0086519,0,-0.065629,1,0.44972,0.5,0.318,0.318
-0.14835,0.0087477,0,-0.065743,1,0.45113,0.5,0.319,0.319
-0.14767,0.0088436,0,-0.065857,1,0.45255,0.5,0.32,0.32
-0.14702,0.0089415,0,-0.065967,1,0.45396,0.5,0.321,0.321
-0.14636,0.0090395,0,-0.066076,1,0.45538,0.5,0.322,0.322
-0.1457,0.0091374,0,-0.066185,1,0.45679,0.5,0.323,0.323
-0.14504,0.0092354,0,-0.066295,1,0.45821,0.5,0.324,0.324
-0.14438,0.0093333,0,-0.066404,1,0.45962,0.5,0.325,0.325
-0.14372,0.0094313,0,-0.066513,1,0.46103,0.5,0.326,0.326
-0.14306,0.0095293,0,-0.066623,1,0.46245,0.5,0.327,0.327
-0.14241,0.0096272,0,-0.066732,1,0.46386,0.5,0.328,0.328
-0.14175,0.0097252,0,-0.066842,1,0.46528,0.5,0.329,0.329
-0.14109,0.0098231,0,-0.066951,1,0.46669,0.5,0.33,0.33
-0.14045,0.0099228,0,-0.067056,1,0.4681,0.5,0.331,0.331
-0.13981,0.010022,0,-0.06716,1,0.46952,0.5,0.332,0.332
-0.13917,0.010122,0,-0.067265,1,0.47093,0.5,0.333,0.333
-0.13853,0.010222,0,-0.06737,1,0.47235,0.5,0.334,0.334
-0.13789,0.010321,0,-0.067475,1,0.47376,0.5,0.335,0.335
-0.13725,0.010421,0,-0.06758,1,0.47518,0.5,0.336,0.336
-0.1366,0.010521,0,-0.067684,1,0.47659,0.5,0.337,0.337
-0.13596,0.01062,0,-0.067789,1,0.478,0.5,0.338,0.338
-0.13532,0.01072,0,-0.067894,1,0.47942,0.5,0.339,0.339
-0.13468,0.01082,0,-0.067999,1,0.48083,0.5,0.34,0.34
-0.13406,0.010921,0,-0.068099,1,0.48225,0.5,0.341,0.341
-0.13343,0.011022,0,-0.068199,1,0.48366,0.5,0.342,0.342
-0.13281,0.011123,0,-0.0683,1,0.48508,0.5,0.343,0.343
-0.13218,0.011224,0,-0.0684,1,0.48649,0.5,0.344,0.344
-0.13156,0.011325,0,-0.068501,1,0.4879,0.5,0.345,0.345
-0.13093,0.011426,0,-0.068601,1,0.48932,0.5,0.346,0.346
-0.13031,0.011527,0,-0.068702,1,0.49073,0.5,0.347,0.347
-0.12968,0.011628,0,-0.068802,1,0.49215,0.5,0.348,0.348
-0.12906,0.011729,0,-0.068902,1,0.49356,0.5,0.349,0.349
-0.12844,0.01183,0,-0.069003,1,0.49497,0.5,0.35,0.35
